Date : 2021-05-11 15:05:03
Directory : /Users/tantianyi/Documents/MyWork/MyGraduationProject/create
Total : 132 files,  51122 codes, 1507 comments, 989 blanks, all 53618 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     42,732 |        250 |          4 |     42,986 |
| TypeScript React |         85 |      6,604 |        950 |        543 |      8,097 |
| JavaScript       |         18 |        738 |        131 |        110 |        979 |
| Markdown         |          6 |        439 |         39 |        246 |        724 |
| TypeScript       |          7 |        424 |         53 |         45 |        522 |
| YAML             |          5 |         77 |          8 |         20 |        105 |
| HTML             |          1 |         49 |          8 |          4 |         61 |
| Ignore           |          1 |         33 |         12 |         12 |         57 |
| XML              |          1 |         23 |          0 |          1 |         24 |
| CSS              |          3 |          3 |         56 |          4 |         63 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        132 |     51,122 |      1,507 |        989 |     53,618 |
| .erb                                                                                                                        |         15 |        649 |        113 |         93 |        855 |
| .erb/configs                                                                                                                |          6 |        502 |        106 |         68 |        676 |
| .erb/mocks                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| .erb/scripts                                                                                                                |          8 |        146 |          7 |         24 |        177 |
| .github                                                                                                                     |          8 |        113 |         47 |         49 |        209 |
| .github/ISSUE_TEMPLATE                                                                                                      |          3 |         36 |         39 |         29 |        104 |
| .github/workflows                                                                                                           |          2 |         56 |          2 |         16 |         74 |
| assets                                                                                                                      |          2 |         35 |          0 |          4 |         39 |
| src                                                                                                                         |         94 |      7,119 |      1,043 |        593 |      8,755 |
| src/Calendar                                                                                                                |          2 |        226 |         16 |         11 |        253 |
| src/Chat                                                                                                                    |         11 |        514 |        114 |         53 |        681 |
| src/Chat/DataInterface                                                                                                      |          3 |         22 |         24 |          6 |         52 |
| src/Chat/Messages                                                                                                           |          3 |         14 |         24 |          8 |         46 |
| src/Chat/components                                                                                                         |          3 |        231 |         34 |         17 |        282 |
| src/Gantt                                                                                                                   |         10 |        325 |         67 |         38 |        430 |
| src/Gantt/Components                                                                                                        |          1 |         90 |         11 |          5 |        106 |
| src/Gantt/DataInterface                                                                                                     |          3 |         18 |         24 |          8 |         50 |
| src/Gantt/Messages                                                                                                          |          2 |          4 |         16 |          3 |         23 |
| src/Home                                                                                                                    |          7 |        841 |         78 |         51 |        970 |
| src/Home/Messages                                                                                                           |          4 |         20 |         32 |          7 |         59 |
| src/Home/pages                                                                                                              |          2 |        794 |         36 |         41 |        871 |
| src/Login                                                                                                                   |          3 |        546 |         28 |         28 |        602 |
| src/Login/views                                                                                                             |          2 |        422 |         18 |         24 |        464 |
| src/Members                                                                                                                 |          1 |         71 |          8 |          3 |         82 |
| src/Projects                                                                                                                |          3 |        774 |        115 |         40 |        929 |
| src/Projects/components                                                                                                     |          2 |        496 |        103 |         27 |        626 |
| src/SyncEdit                                                                                                                |         29 |      1,088 |        251 |        145 |      1,484 |
| src/SyncEdit/Components                                                                                                     |          3 |        335 |         17 |         37 |        389 |
| src/SyncEdit/DataInterface                                                                                                  |          6 |         52 |         40 |         20 |        112 |
| src/SyncEdit/Messages                                                                                                       |         19 |        102 |        152 |         54 |        308 |
| src/Tasks                                                                                                                   |         11 |      1,724 |        137 |        124 |      1,985 |
| src/Tasks/Components                                                                                                        |          4 |      1,472 |         84 |         90 |      1,646 |
| src/Tasks/DataInterface                                                                                                     |          1 |         10 |          8 |          2 |         20 |
| src/Tasks/Messages                                                                                                          |          5 |         22 |         32 |         11 |         65 |
| src/__tests__                                                                                                               |          1 |          9 |          0 |          2 |         11 |
| src/utils                                                                                                                   |          8 |        355 |         75 |         35 |        465 |
| src/utils/components                                                                                                        |          5 |        312 |         51 |         29 |        392 |
| typings                                                                                                                     |          4 |         23 |         32 |          6 |         61 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                    | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
